supplier,sku_adquify,sku_supplier,name,price,stock_status,category,dimensions,materials,images,description,url,source
KAVE,ADQ-KA-392D4D46,C00001BF12,Silla Gena de chapa de roble y chenilla beige,119.0,,sillas,,,"https://d.media.kavehome.com/image/upload/w_388,h_485,c_fill/v1733130967/products/C00001BF12_1V01.jpg | https://d.media.kavehome.com/image/upload/v1736941695/ambiences/A000002511_2.jpg | https://d.media.kavehome.com/image/upload/v1733130967/products/C00001BF12_1V01.jpg | https://d.media.kavehome.com/image/upload/v1733130968/products/C00001BF12_1D01.jpg | https://d.media.kavehome.com/image/upload/v1735907670/ambiences/A000002511_3.jpg | https://d.media.kavehome.com/image/upload/v1733130975/products/C00001BF12_1D02.jpg","Esta silla hecha de chapa de roble destaca por su diseño atemporal y funcional.

El asiento, tapizado en chenilla, añade un extra de confort y suavidad, a la vez que refuerza su carácter acogedor y elegante. Este tejido, conocido por su textura delicada y resistencia al uso, aporta un acabado sofisticado y cálido que complementa a la perfección los materiales de la estructura.

Pensando en los detalles que marcan la diferencia, las patas de esta silla están equipadas con protectores diseñados para preservar el suelo, evitando rayaduras o marcas, y protegiendo además la integridad de la propia pieza. Esta característica no solo aporta practicidad, sino también tranquilidad al usarla en cualquier tipo de superficie.",https://kavehome.com/es/es/p/silla-gena-de-chapa-de-roble-y-chenilla-beige,kave_quick_test
KAVE,ADQ-KA-2372EF97,C0100208CC12,Silla Granite de 3 patas de chenilla beige y madera maciza fresno acabado nogal FSC 100%,359.0,,sillas,,,"https://d.media.kavehome.com/image/upload/w_388,h_485,c_fill/v1722346316/products/C0100208CC12_1V01.jpg | https://d.media.kavehome.com/image/upload/v1722346316/products/C0100208CC12_1V01.jpg | https://d.media.kavehome.com/image/upload/v1759740234/ambiences/A25S105_160.jpg | https://d.media.kavehome.com/image/upload/v1759838506/ambiences/A25S105_103.jpg | https://d.media.kavehome.com/image/upload/v1722346319/products/C0100208CC12_1V02.jpg | https://d.media.kavehome.com/image/upload/v1722346320/products/C0100208CC12_1V03.jpg","Granite es elegancia atemporal. Diseñada a partir de
formas gruesas y estilizadas, esta colección se inspira en el carácter escandinavo de los años 70. Un conjunto de piezas exclusivo cuidando cada detalle, que aportan personalidad a tus espacios.",https://kavehome.com/es/es/p/silla-granite-de-3-patas-de-chenilla-beige-y-madera-maciza-fresno-acabado-nogal-fsc-100,kave_quick_test
KAVE,ADQ-KA-E9607297,C0100224BF12,Silla Idaira chenilla beige y patas de acero con acabado beige FSC Mix Credit,159.0,,sillas,,,"https://d.media.kavehome.com/image/upload/w_388,h_485,c_fill/v1716879212/products/C0100224BF12_1V01.jpg | https://d.media.kavehome.com/image/upload/v1716879212/products/C0100224BF12_1V01.jpg | https://d.media.kavehome.com/image/upload/v1728397102/ambiences/A000002498_2.jpg | https://d.media.kavehome.com/image/upload/v1716879259/products/C0100224BF12_1D01.jpg | https://d.media.kavehome.com/image/upload/v1728397103/ambiences/A000002498_3.jpg | https://d.media.kavehome.com/image/upload/v1716879249/products/C0100224BF12_1D02.jpg","Idaira fusiona la comodidad y el diseño de los años cincuenta con una estética contemporánea. Con un equilibrio ideal entre lo clásico y lo moderno, estas sillas convierten cualquier espacio en un oasis de elegancia y calidez.",https://kavehome.com/es/es/p/silla-idaira-chenilla-beige-y-patas-de-acero-con-acabado-beige-fsc-mix-credit,kave_quick_test
KAVE,ADQ-KA-DAABE1F5,C0100008HI39,Silla Aleli de borreguito blanco y patas de madera maciza de fresno con acabado natural,219.0,,sillas,,,"https://d.media.kavehome.com/image/upload/w_388,h_485,c_fill/v1709562712/products/C0100008HI39_1V01.jpg | https://d.media.kavehome.com/image/upload/v1709562712/products/C0100008HI39_1V01.jpg | https://d.media.kavehome.com/image/upload/v1709556744/products/C0100008HI39_1D01.jpg | https://d.media.kavehome.com/image/upload/v1709556744/products/C0100008HI39_1D02.jpg | https://d.media.kavehome.com/image/upload/v1709556745/products/C0100008HI39_1V02.jpg | https://d.media.kavehome.com/image/upload/v1709556745/products/C0100008HI39_1D03.jpg","El máximo confort en una silla con un corte contemporáneo, así es Aleli. Añade tendencia a tus estancias gracias a su tapizado de estilo borreguito. La pieza perfecta que convierte cualquier momento en una ocasión especial.",https://kavehome.com/es/es/p/silla-aleli-de-borreguito-blanco-y-patas-de-madera-maciza-de-fresno-con-acabado-natural,kave_quick_test
KAVE,ADQ-KA-98826B48,C01000116BF12,Silla Aleli de chenilla beige y patas de madera maciza de fresno con acabado nogal,209.0,,sillas,,,"https://d.media.kavehome.com/image/upload/w_388,h_485,c_fill/v1709556894/products/C01000116BF12_1V01.jpg | https://d.media.kavehome.com/image/upload/v1709222745/ambiences/A000002226_5.jpg | https://d.media.kavehome.com/image/upload/v1709556894/products/C01000116BF12_1V01.jpg | https://d.media.kavehome.com/image/upload/v1709556893/products/C01000116BF12_1D01.jpg | https://d.media.kavehome.com/image/upload/v1709222737/ambiences/A000002226_1.jpg | https://d.media.kavehome.com/image/upload/v1709556894/products/C01000116BF12_1D02.jpg","El máximo confort en una silla con un corte contemporáneo, así es Aleli. Añade tendencia a tus estancias gracias a su tapizado de chenilla. La pieza perfecta que convierte cualquier momento en una ocasión especial.",https://kavehome.com/es/es/p/silla-aleli-de-chenilla-beige-y-patas-de-madera-maciza-de-fresno-con-acabado-nogal,kave_quick_test
,ADQ-CA-18E34BCF,,,,,,,,https://casathai.es/6474-home_default/mesa-de-jardin-tina-blanca.jpg,,,scraper
,ADQ-CA-97EA8FEC,,,,,,,,https://casathai.es/6430-home_default/mesa-arya-madera-pata-blanca.jpg,,,scraper
,ADQ-CA-88B720B2,,,,,,,,https://casathai.es/6421-home_default/mesa-arya-madera-pata-negra.jpg,,,scraper
,ADQ-CA-984FF983,,,,,,,,https://casathai.es/6417-home_default/mesa-extensible-enzo-madera-pata-blanca.jpg,,,scraper
,ADQ-CA-6A516795,,,,,,,,https://casathai.es/6408-home_default/mesa-extensible-enzo-madera-pata-negra.jpg,,,scraper
